recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Steak & Sweet Potato Power Bowl","20260427090000_recipes_schema_and_seed.sql",apply,4,720,920,28,58,72.1,65,52.4,22,51.5,""
"Greek Yoghurt Protein Pancakes","20260427090000_recipes_schema_and_seed.sql",apply,1,510,655,28,40,43.4,55,56.5,12,27.8,""
"Salmon & Quinoa Muscle Plate","20260427090000_recipes_schema_and_seed.sql",apply,6,680,830,22,52,60.8,58,56.7,20,39.1,""
"Chicken Burrito Bowl","20260427090000_recipes_schema_and_seed.sql",apply,6,750,1031,37,55,77.6,80,109.8,16,31.8,""
"Mass-Gain Overnight Oats","20260427090000_recipes_schema_and_seed.sql",apply,1,620,794,28,38,51.6,72,93.2,18,27.6,""
"Beef & Lentil Bolognese","20260427090000_recipes_schema_and_seed.sql",apply,7,780,1220,56,60,85.6,78,135.1,18,35.8,""
"Egg White & Turkey Omelette","20260427090000_recipes_schema_and_seed.sql",apply,4,440,322,-27,50,47.8,6,14.8,14,9.2,""
"Tuna Protein Rice Cakes","20260427090000_recipes_schema_and_seed.sql",apply,4,310,342,10,38,53,22,22.4,6,4.2,""
"Cottage Cheese Protein Bowl","20260427090000_recipes_schema_and_seed.sql",apply,1,380,566,49,32,35.8,24,38.2,16,31.9,""
"Chicken Thigh & Veggie Stir-Fry","20260427090000_recipes_schema_and_seed.sql",apply,6,640,902,41,48,83.2,55,62.1,15,37,""
"Grilled Chicken & Kale Caesar","20260427090000_recipes_schema_and_seed.sql",apply,6,420,757,80,45,94.9,12,39.6,18,28.9,""
"Spiced Egg & Veggie Scramble","20260427090000_recipes_schema_and_seed.sql",apply,6,310,333,7,24,24.4,14,24.1,16,16.3,""
"Zucchini Noodles & Turkey Bolognese","20260427090000_recipes_schema_and_seed.sql",apply,6,350,546,56,38,63.6,12,27.5,12,22.1,""
"White Fish Tacos with Slaw","20260427090000_recipes_schema_and_seed.sql",apply,8,380,513,35,32,51.3,38,64.1,10,8.7,""
"Berry Protein Smoothie","20260427090000_recipes_schema_and_seed.sql",apply,1,300,329,10,30,11.9,32,56.3,4,7.5,""
"Baked Cod & Roasted Asparagus","20260427090000_recipes_schema_and_seed.sql",apply,8,340,287,-16,38,38.8,8,7,14,11.8,""
"Turkey Lettuce Wraps","20260427090000_recipes_schema_and_seed.sql",apply,9,290,405,40,30,59.4,14,15.6,10,12.5,""
"Greek Salad with Grilled Shrimp","20260427090000_recipes_schema_and_seed.sql",apply,7,360,590,64,34,56.3,16,16.6,16,34.1,""
"Egg & Spinach Stuffed Peppers","20260427090000_recipes_schema_and_seed.sql",apply,5,270,576,113,22,48.1,10,30.5,16,32.1,""
"Miso Soup with Edamame & Tofu","20260427090000_recipes_schema_and_seed.sql",apply,3,160,329,106,14,32.7,10,25.7,5,12.2,""
"Mediterranean Tuna Salad","20260427090000_recipes_schema_and_seed.sql",apply,6,390,540,38,36,55.7,28,45.4,12,17.5,""
"Avocado Egg Toast","20260427090000_recipes_schema_and_seed.sql",apply,5,410,595,45,20,23.3,38,47.8,20,37,""
"Teriyaki Salmon Rice Bowl","20260427090000_recipes_schema_and_seed.sql",apply,7,580,847,46,42,57.7,55,74.9,16,34.1,""
"Pesto Chicken & Roasted Tomato Pasta","20260427090000_recipes_schema_and_seed.sql",apply,8,560,876,56,42,76.9,60,79.7,14,29.1,""
"Lean Turkey Stuffed Peppers","20260427090000_recipes_schema_and_seed.sql",apply,5,480,845,76,40,82.1,44,63.1,13,29.8,""
"Chlorophyll Green Smoothie Bowl","20260427090000_recipes_schema_and_seed.sql",apply,4,370,746,102,18,48,52,105,8,20.9,""
"Asian-Style Prawn Noodle Salad","20260427090000_recipes_schema_and_seed.sql",apply,10,420,759,81,30,50,50,119,10,12.4,""
"Cauliflower Fried Rice","20260427090000_recipes_schema_and_seed.sql",apply,8,320,511,60,22,40.5,22,31.4,14,26.2,""
